Posição,Código IBGE,Município,UF,População
1413º,5000708,Anastácio,Mato Grosso do Sul,24954
1414º,2110039,Santa Luzia do Paruá,Maranhão,24946
1415º,3502705,Apiaí,São Paulo,24945
1416º,2915809,Itambé,Bahia,24901
1417º,5217104,Piracanjuba,Goiás,24885
1418º,3302908,Miguel Pereira,Rio de Janeiro,24871
1419º,1507151,São Domingos do Araguaia,Pará,24859
1420º,2507002,Itaporanga,Paraíba,24842
1421º,4309407,Guaporé,Rio Grande do Sul,24836
1422º,5108600,Vila Rica,Mato Grosso,24835
1423º,2305308,Ibiapina,Ceará,24825
1424º,3501301,Álvares Machado,São Paulo,24813
1425º,3124203,Espera Feliz,Minas Gerais,24805
1426º,2703205,Igreja Nova,Alagoas,24793
1427º,3130903,Inhapim,Minas Gerais,24792
1428º,2706406,Pão de Açúcar,Alagoas,24792
1429º,2504603,Conde,Paraíba,24769
1430º,1200104,Brasiléia,Acre,24765
1431º,2603702,Canhotinho,Pernambuco,24762
1432º,5217302,Pirenópolis,Goiás,24761
1433º,3148707,Pedra Azul,Minas Gerais,24748
1434º,2201903,Bom Jesus,Piauí,24711
1435º,3109303,Buritis,Minas Gerais,24689
1436º,1507904,Soure,Pará,24682
1437º,2600302,Agrestina,Pernambuco,24644
1438º,3502200,Angatuba,São Paulo,24634
1439º,4321907,Três Passos,Rio Grande do Sul,24632
1440º,4208500,Ituporanga,Santa Catarina,24622
1441º,2307403,Jucás,Ceará,24597
1442º,3520004,Igaraçu do Tietê,São Paulo,24596
1443º,3205069,Venda Nova do Imigrante,Espírito Santo,24575
1444º,2702355,Craíbas,Alagoas,24510
1445º,5100201,Água Boa,Mato Grosso,24501
1446º,4321808,Três de Maio,Rio Grande do Sul,24497
1447º,2301703,Aurora,Ceará,24496
1448º,2506905,Itabaiana,Paraíba,24475
1449º,3147402,Paraopeba,Minas Gerais,24427
1450º,4319604,São Sepé,Rio Grande do Sul,24403
1451º,3531407,Monte Aprazível,São Paulo,24393
1452º,3119104,Corinto,Minas Gerais,24384
1453º,3154002,Raul Soares,Minas Gerais,24368
1454º,5002100,Bela Vista,Mato Grosso do Sul,24331
1455º,2918803,Laje,Bahia,24306
1456º,5107875,Sapezal,Mato Grosso,24305
1457º,4203956,Capivari de Baixo,Santa Catarina,24298
1458º,2912707,Ibirapitanga,Bahia,24293
1459º,3303955,Pinheiral,Rio de Janeiro,24282
1460º,2703809,Joaquim Gomes,Alagoas,24280
1461º,2708303,São José da Laje,Alagoas,24226
1462º,2411502,Santo Antônio,Rio Grande do Norte,24220
1463º,3202108,Ecoporanga,Espírito Santo,24217
1464º,1507458,São Geraldo do Araguaia,Pará,24188
1465º,1506609,Santa Maria do Pará,Pará,24186
1466º,1100320,São Miguel do Guaporé,Rondônia,24181
1467º,2512903,Rio Tinto,Paraíba,24154
1468º,5208905,Goiás,Goiás,24103
1469º,3507803,Brodowski,São Paulo,24092
1470º,2304350,Forquilha,Ceará,24047
1471º,3204609,Santa Teresa,Espírito Santo,24025
1472º,3507100,Bom Jesus dos Perdões,São Paulo,24023
1473º,3105103,Bambuí,Minas Gerais,24018
1474º,2903409,Belmonte,Bahia,24013
1475º,5203500,Bom Jesus de Goiás,Goiás,23998
1476º,2304251,Cruz,Ceará,23983
1477º,2605004,Cupira,Pernambuco,23977
1478º,4105904,Colorado,Paraná,23941
1479º,5002951,Chapadão do Sul,Mato Grosso do Sul,23940
1480º,2908903,Coração de Maria,Bahia,23896
1481º,5007109,Ribas do Rio Pardo,Mato Grosso do Sul,23881
1482º,3507902,Brotas,São Paulo,23858
1483º,2306108,Irauçuba,Ceará,23858
1484º,2905008,Caculé,Bahia,23817
1485º,2102804,Carolina,Maranhão,23803
1486º,3512407,Cordeirópolis,São Paulo,23793
1487º,3113008,Caraí,Minas Gerais,23781
1488º,2609709,Orobó,Pernambuco,23768
1489º,1303601,Santa Isabel do Rio Negro,Amazonas,23765
1490º,4318408,São Jerônimo,Rio Grande do Sul,23763
1491º,2109007,Porto Franco,Maranhão,23760
1492º,2805505,Poço Verde,Sergipe,23740
1493º,3162708,São João do Paraíso,Minas Gerais,23729
1494º,2930774,Sobradinho,Bahia,23713
1495º,4322202,Tupanciretã,Rio Grande do Sul,23705
1496º,4216909,São Lourenço do Oeste,Santa Catarina,23698
1497º,3204005,Pancas,Espírito Santo,23697
1498º,3132701,Itambacuri,Minas Gerais,23637
1499º,3100203,Abaeté,Minas Gerais,23611
1500º,2412500,São Miguel,Rio Grande do Norte,23610
1501º,2921104,Medeiros Neto,Bahia,23586
1502º,2102903,Carutapera,Maranhão,23576
1503º,2925956,Rafael Jambeiro,Bahia,23562
1504º,5004502,Itaporã,Mato Grosso do Sul,23539
1505º,3304151,Quissamã,Rio de Janeiro,23535
1506º,4315305,Quaraí,Rio Grande do Sul,23532
1507º,2912103,Ibicaraí,Bahia,23529
1508º,2102309,Buriti Bravo,Maranhão,23495
1509º,2512309,Princesa Isabel,Paraíba,23489
1510º,3143401,Monte Sião,Minas Gerais,23444
1511º,4320107,Sarandi,Rio Grande do Sul,23398
1512º,2611903,Rio Formoso,Pernambuco,23379
1513º,2931509,Teofilândia,Bahia,23378
1514º,2900801,Alcobaça,Bahia,23376
1515º,3540754,Potim,São Paulo,23360
1516º,2926202,Riachão das Neves,Bahia,23313
1517º,3553302,Tambaú,São Paulo,23267
1518º,3521408,Iracemápolis,São Paulo,23264
1519º,2301604,Assaré,Ceará,23254
1520º,3118403,Conselheiro Pena,Minas Gerais,23240
1521º,3553807,Taquarituba,São Paulo,23240
1522º,4117305,Ortigueira,Paraná,23200
1523º,1721208,Tocantinópolis,Tocantins,23119
1524º,1502004,Cachoeira do Arari,Pará,23110
1525º,2304004,Coreaú,Ceará,23107
1526º,2614857,Tamandaré,Pernambuco,23100
1527º,1506302,Salvaterra,Pará,23096
1528º,2106508,Matinha,Maranhão,23091
1529º,1303700,Santo Antônio do Içá,Amazonas,23075
1530º,1502509,Chaves,Pará,23066
1531º,2105500,João Lisboa,Maranhão,23042
1532º,2908200,Conceição da Feira,Bahia,23024
1533º,5004700,Ivinhema,Mato Grosso do Sul,23021
1534º,2108454,Peritoró,Maranhão,23019
1535º,2920502,Maracás,Bahia,23018
1536º,2922409,Mutuípe,Bahia,22998
1537º,4124053,Santa Terezinha de Itaipu,Paraná,22992
1538º,3554300,Teodoro Sampaio,São Paulo,22914
1539º,2103802,Dom Pedro,Maranhão,22912
1540º,3162955,São José da Lapa,Minas Gerais,22910
1541º,4113502,Loanda,Paraná,22903
1542º,2600807,Altinho,Pernambuco,22896
1543º,2916104,Itaparica,Bahia,22866
1544º,2923209,Oliveira dos Brejinhos,Bahia,22805
1545º,2607000,Inajá,Pernambuco,22801
1546º,3548005,Santo Antônio de Posse,São Paulo,22801
1547º,3139508,Manhumirim,Minas Gerais,22784
1548º,2501104,Areia,Paraíba,22776
1549º,2906907,Caravelas,Bahia,22740
1550º,4206306,Guabiruba,Santa Catarina,22732
1551º,2600906,Amaraji,Pernambuco,22726
1552º,4211702,Orleans,Santa Catarina,22723
1553º,3302106,Itaocara,Rio de Janeiro,22694
1554º,5220207,São Miguel do Araguaia,Goiás,22684
1555º,4120804,Quatro Barras,Paraná,22651
1556º,2613206,São João,Pernambuco,22628
1557º,4215703,Santo Amaro da Imperatriz,Santa Catarina,22609
1558º,5005202,Ladário,Mato Grosso do Sul,22590
1559º,2605608,Flores,Pernambuco,22567
1560º,2923407,Palmas de Monte Alto,Bahia,22553
1561º,4203907,Capinzal,Santa Catarina,22524
1562º,4310801,Ivoti,Rio Grande do Sul,22514
1563º,2610806,Pedra,Pernambuco,22505
1564º,2702603,Feira Grande,Alagoas,22481
1565º,2904100,Boquira,Bahia,22464
1566º,2407807,Monte Alegre,Rio Grande do Norte,22462
1567º,3301405,Conceição de Macabu,Rio de Janeiro,22461
1568º,1100940,Cujubim,Rondônia,22443
1569º,4206702,Herval d'Oeste,Santa Catarina,22443
1570º,2302008,Barro,Ceará,22440
1571º,1507474,São João de Pirabas,Pará,22415
1572º,5001904,Bataguassu,Mato Grosso do Sul,22389
1573º,2933505,Wenceslau Guimarães,Bahia,22365
1574º,2303006,Caridade,Ceará,22320
1575º,2923605,Paramirim,Bahia,22286
1576º,4104659,Carambeí,Paraná,22282
1577º,2308906,Morrinhos,Ceará,22222
1578º,3115508,Caxambu,Minas Gerais,22208
1579º,3535309,Palmital,São Paulo,22196
1580º,4114104,Mandaguaçu,Paraná,22164
1581º,3133501,Itapecerica,Minas Gerais,22158
1582º,5205406,Ceres,Goiás,22155
1583º,2911808,Guaratinga,Bahia,22154
1584º,1304401,Urucurituba,Amazonas,22148
1585º,3114204,Carmo do Cajuru,Minas Gerais,22136
1586º,4306809,Encantado,Rio Grande do Sul,22128
1587º,1100254,Presidente Médici,Rondônia,22124
1588º,2902807,Barra da Estiva,Bahia,22082
1589º,4205704,Garopaba,Santa Catarina,22082
1590º,4320909,Tapejara,Rio Grande do Sul,22077
1591º,5200134,Acreúna,Goiás,22076
1592º,3110509,Camanducaia,Minas Gerais,22057
1593º,4100509,Altônia,Paraná,21988
1594º,3529708,Miguelópolis,São Paulo,21973
1595º,2929107,São Felipe,Bahia,21964
1596º,2605400,Feira Nova,Pernambuco,21958
1597º,3143203,Monte Santo de Minas,Minas Gerais,21949
1598º,3513603,Cunha,São Paulo,21929
1599º,2702108,Colônia Leopoldina,Alagoas,21926
1600º,4212809,Balneário Piçarras,Santa Catarina,21884
1601º,2311504,Quixeré,Ceará,21876
1602º,2503001,Caaporã,Paraíba,21872
1603º,2509107,Mari,Paraíba,21854
1604º,2801405,Carira,Sergipe,21842
1605º,2909604,Crisópolis,Bahia,21835
1606º,2904753,Buritirama,Bahia,21786
1607º,3142908,Monte Azul,Minas Gerais,21783
1608º,2705705,Olho d'Água das Flores,Alagoas,21767
1609º,4128005,Ubiratã,Paraná,21762
1610º,2102705,Cantanhede,Maranhão,21759
1611º,2112233,Trizidela do Vale,Maranhão,21749
1612º,5002902,Cassilândia,Mato Grosso do Sul,21748
1613º,1100148,Nova Brasilândia d'Oeste,Rondônia,21747
1614º,5201306,Anicuns,Goiás,21746
1615º,1707009,Dianópolis,Tocantins,21738
1616º,2932705,Uruçuca,Bahia,21711
1617º,5210901,Itapaci,Goiás,21691
1618º,4318200,São Francisco de Paula,Rio Grande do Sul,21679
1619º,3540002,Pompeia,São Paulo,21674
1620º,2100204,Alcântara,Maranhão,21673
1621º,2408904,Parelhas,Rio Grande do Norte,21669
1622º,4106506,Coronel Vivida,Paraná,21666
1623º,2915502,Itajuípe,Bahia,21642
1624º,5106307,Paranatinga,Mato Grosso,21612
1625º,2313807,Uruburetama,Ceará,21609
1626º,2800209,Aquidabã,Sergipe,21589
1627º,3205036,Vargem Alta,Espírito Santo,21584
1628º,3147204,Paraguaçu,Minas Gerais,21583
1629º,2103174,Centro Novo do Maranhão,Maranhão,21565
1630º,3133303,Itaobim,Minas Gerais,21559
1631º,1200450,Senador Guiomard,Acre,21552
1632º,2701308,Cajueiro,Alagoas,21526
1633º,2604502,Chã Grande,Pernambuco,21525
1634º,4208104,Itaiópolis,Santa Catarina,21506
1635º,2911600,Governador Mangabeira,Bahia,21495
1636º,5002209,Bonito,Mato Grosso do Sul,21483
1637º,2931202,Taperoá,Bahia,21462
1638º,3527405,Lucélia,São Paulo,21461
1639º,3114402,Carmo do Rio Claro,Minas Gerais,21458
1640º,3149903,Perdões,Minas Gerais,21444
1641º,3111002,Campestre,Minas Gerais,21440
1642º,3167103,Serro,Minas Gerais,21435
1643º,2927507,Santa Bárbara,Bahia,21415
1644º,3141405,Medina,Minas Gerais,21409
1645º,1300144,Apuí,Amazonas,21406
1646º,2902609,Baixa Grande,Bahia,21403
1647º,2301307,Araripe,Ceará,21398
1648º,2610400,Parnamirim,Pernambuco,21383
1649º,4319000,São Marcos,Rio Grande do Sul,21364
1650º,5101407,Aripuanã,Mato Grosso,21357
1651º,4112108,Jandaia do Sul,Paraná,21341
1652º,2608503,Lagoa de Itaenga,Pernambuco,21338
1653º,3204203,Piúma,Espírito Santo,21336
1654º,2932507,Una,Bahia,21331
1655º,2931004,Tanhaçu,Bahia,21315
1656º,2920700,Maraú,Bahia,21313
1657º,5103502,Diamantino,Mato Grosso,21294
1658º,2106326,Maracaçumé,Maranhão,21293
1659º,2309508,Orós,Ceará,21292
1660º,2613305,São Joaquim do Monte,Pernambuco,21257
1661º,3305604,Silva Jardim,Rio de Janeiro,21253
1662º,3301504,Cordeiro,Rio de Janeiro,21250
1663º,4302709,Butiá,Rio Grande do Sul,21247
1664º,2917102,Itororó,Bahia,21241
1665º,4106605,Cruzeiro do Oeste,Paraná,21237
1666º,2211209,Uruçuí,Piauí,21188
1667º,4219002,Urussanga,Santa Catarina,21177
1668º,2924603,Pindobaçu,Bahia,21171
1669º,2501500,Bananeiras,Paraíba,21156
1670º,2107704,Paraibano,Maranhão,21116
1671º,3305158,São José do Vale do Rio Preto,Rio de Janeiro,21114
1672º,3142809,Monte Alegre de Minas,Minas Gerais,21095
1673º,3517703,Guará,São Paulo,21081
1674º,3505807,Bastos,São Paulo,21073
1675º,3533007,Nova Granada,São Paulo,21071
1676º,2609154,Manari,Pernambuco,21047
1677º,3502754,Araçariguama,São Paulo,21038
1678º,3547700,Santo Anastácio,São Paulo,21030
1679º,3144102,Muzambinho,Minas Gerais,21026
1680º,2919926,Madre de Deus,Bahia,21007
1681º,3147303,Paraisópolis,Minas Gerais,20983
1682º,2301950,Barreira,Ceará,20978
1683º,2613404,São José da Coroa Grande,Pernambuco,20963
1684º,4316006,Rolante,Rio Grande do Sul,20920
1685º,1100403,Alto Paraíso,Rondônia,20916
1686º,2111706,São Vicente Ferrer,Maranhão,20913
1687º,1303007,Nhamundá,Amazonas,20902
1688º,3105905,Barroso,Minas Gerais,20882
1689º,2101905,Bequimão,Maranhão,20881
1690º,3137809,Lambari,Minas Gerais,20870
1691º,2108702,Pio XII,Maranhão,20861
1692º,2311264,Quiterianópolis,Ceará,20860
1693º,5008008,Terenos,Mato Grosso do Sul,20855
1694º,1506583,Santa Maria das Barreiras,Pará,20849
1695º,2202307,Canto do Buriti,Piauí,20831
1696º,1400209,Caracaraí,Roraima,20807
1697º,2932101,Ubaíra,Bahia,20800
1698º,4314605,Piratini,Rio Grande do Sul,20799
1699º,1504950,Nova Esperança do Piriá,Pará,20789
1700º,3171006,Vazante,Minas Gerais,20784
1701º,5006002,Nova Alvorada do Sul,Mato Grosso do Sul,20772
1702º,4101101,Andirá,Paraná,20769
1703º,2107357,Nova Olinda do Maranhão,Maranhão,20768
1704º,3202207,Fundão,Espírito Santo,20757
1705º,5102702,Canarana,Mato Grosso,20707
1706º,2402303,Caraúbas,Rio Grande do Norte,20707
1707º,2500403,Alagoa Nova,Paraíba,20689
1708º,2306603,Itatira,Ceará,20675
1709º,4313201,Nova Petrópolis,Rio Grande do Sul,20675
1710º,2601607,Belém do São Francisco,Pernambuco,20670
1711º,2108108,Paulo Ramos,Maranhão,20657
1712º,2310852,Pindoretama,Ceará,20644
1713º,5106257,Nova Xavantina,Mato Grosso,20639
1714º,3517505,Guapiaçu,São Paulo,20637
1715º,5004601,Itaquiraí,Mato Grosso do Sul,20637
1716º,2106706,Mirador,Maranhão,20613
1717º,1600535,Porto Grande,Amapá,20611
1718º,2211308,Valença do Piauí,Piauí,20588
1719º,4310330,Imbé,Rio Grande do Sul,20578
1720º,4127502,Tibagi,Paraná,20562
1721º,3540903,Pradópolis,São Paulo,20516
1722º,4126603,Siqueira Campos,Paraná,20508
1723º,2916005,Itanhém,Bahia,20501
1724º,1506351,Santa Bárbara do Pará,Pará,20492
1725º,2932200,Ubaitaba,Bahia,20489
1726º,5220603,Silvânia,Goiás,20478
1727º,5209705,Hidrolândia,Goiás,20472
1728º,2700102,Água Branca,Alagoas,20467
1729º,2616209,Vertentes,Pernambuco,20460
1730º,2303600,Catarina,Ceará,20451
1731º,2929701,Sátiro Dias,Bahia,20429
1732º,2501005,Araruna,Paraíba,20418
1733º,4313060,Nova Hartz,Rio Grande do Sul,20405
1734º,2611705,Riacho das Almas,Pernambuco,20392
1735º,1600402,Mazagão,Amapá,20387
1736º,3511003,Castilho,São Paulo,20362
1737º,4310009,Ibirubá,Rio Grande do Sul,20355
1738º,3526001,Junqueirópolis,São Paulo,20353
1739º,2505105,Cuité,Paraíba,20348
1740º,2707503,Porto Real do Colégio,Alagoas,20327
1741º,2916807,Itarantim,Bahia,20314
1742º,2111003,São João Batista,Maranhão,20307
1743º,3137700,Lajinha,Minas Gerais,20301
1744º,4213500,Porto Belo,Santa Catarina,20294
1745º,3529906,Miracatu,São Paulo,20288
1746º,4301008,Arroio do Meio,Rio Grande do Sul,20272
1747º,2601052,Araçoiaba,Pernambuco,20268
1748º,2210003,São João do Piauí,Piauí,20258
1749º,2305209,Hidrolândia,Ceará,20215
1750º,2603108,Cachoeirinha,Pernambuco,20209
1751º,2709103,Taquarana,Alagoas,20205
1752º,2704401,Major Izidoro,Alagoas,20200
1753º,1300102,Anori,Amazonas,20196
1754º,2207801,Paulistana,Piauí,20192
1755º,2900207,Abaré,Bahia,20189
1756º,3146305,Padre Paraíso,Minas Gerais,20177
1757º,2806206,Salgado,Sergipe,20168
1758º,2514503,São José de Piranhas,Paraíba,20163
1759º,5003256,Costa Rica,Mato Grosso do Sul,20159
1760º,3523503,Itatinga,São Paulo,20158
1761º,4124400,Santo Antônio do Sudoeste,Paraná,20158
1762º,3122009,Divino,Minas Gerais,20133
1763º,4217402,Schroeder,Santa Catarina,20095
1764º,3111101,Campina Verde,Minas Gerais,20079
1765º,2306504,Itapiúna,Ceará,20014
1766º,2805802,Riachão do Dantas,Sergipe,20014
1767º,4311205,Júlio de Castilhos,Rio Grande do Sul,20012
1768º,3510302,Capela do Alto,São Paulo,20005
1769º,5218904,Rubiataba,Goiás,19994
1770º,2603801,Capoeiras,Pernambuco,19991
1771º,3542404,Regente Feijó,São Paulo,19985
1772º,2102606,Cândido Mendes,Maranhão,19943
1773º,5103304,Comodoro,Mato Grosso,19932
1774º,4105409,Chopinzinho,Paraná,19911
1775º,5201702,Aragarças,Goiás,19884
1776º,4128500,Wenceslau Braz,Paraná,19856
1777º,3101904,Alpinópolis,Minas Gerais,19846
1778º,2307635,Madalena,Ceará,19800
1779º,5204904,Campos Belos,Goiás,19786
1780º,2912202,Ibicoara,Bahia,19786
1781º,2932804,Utinga,Bahia,19780
1782º,2106300,Magalhães de Almeida,Maranhão,19779
1783º,3169703,Turmalina,Minas Gerais,19762
1784º,3113701,Carlos Chagas,Minas Gerais,19750
1785º,1503044,Floresta do Araguaia,Pará,19746
1786º,3508009,Buri,São Paulo,19737
1787º,3131208,Ipanema,Minas Gerais,19736
1788º,3535804,Paranapanema,São Paulo,19730
1789º,5107305,São José do Rio Claro,Mato Grosso,19728
1790º,3170909,Varzelândia,Minas Gerais,19723
1791º,2109502,Riachão,Maranhão,19701
1792º,3301108,Cantagalo,Rio de Janeiro,19697
1793º,5220405,São Simão,Goiás,19697
1794º,2920106,Mairi,Bahia,19695
1795º,1101492,São Francisco do Guaporé,Rondônia,19694
1796º,2305357,Icapuí,Ceará,19685
1797º,2313757,Umirim,Ceará,19679
1798º,1301605,Fonte Boa,Amazonas,19669
1799º,3159803,Santa Vitória,Minas Gerais,19646
1800º,3167608,Simonésia,Minas Gerais,19633
1801º,2929255,São Gabriel,Bahia,19613
1802º,3153400,Presidente Olegário,Minas Gerais,19599
1803º,1303502,Pauini,Amazonas,19597
1804º,5205513,Cocalzinho de Goiás,Goiás,19583
1805º,2500601,Alhandra,Paraíba,19579
1806º,2512705,Remígio,Paraíba,19579
1807º,2917201,Ituaçu,Bahia,19577
1808º,2901601,Antas,Bahia,19569
1809º,5007406,Rio Verde de Mato Grosso,Mato Grosso do Sul,19569
1810º,2901205,Anagé,Bahia,19568
1811º,3134608,Jaboticatubas,Minas Gerais,19545
1812º,3536208,Pariquera-Açu,São Paulo,19537
1813º,4208807,Jaguaruna,Santa Catarina,19527
1814º,2932457,Umburanas,Bahia,19522
1815º,4212908,Pinhalzinho,Santa Catarina,19511
1816º,2307254,Jijoca de Jericoacoara,Ceará,19510
1817º,2903805,Boa Vista do Tupim,Bahia,19502
1818º,2908101,Cocos,Bahia,19498
1819º,3515152,Engenheiro Coelho,São Paulo,19497
1820º,3511409,Cerqueira César,São Paulo,19495
1821º,1301506,Envira,Amazonas,19492
1822º,5106232,Nova Olímpia,Mato Grosso,19465
1823º,2202000,Buriti dos Lopes,Piauí,19464
1824º,3204351,Rio Bananal,Espírito Santo,19457
1825º,4126306,Sengés,Paraná,19443
1826º,2603900,Carnaíba,Pernambuco,19440
1827º,2107605,Palmeirândia,Maranhão,19424
1828º,4101200,Antonina,Paraná,19420
1829º,3100906,Águas Formosas,Minas Gerais,19416
1830º,2600203,Afrânio,Pernambuco,19411
1831º,2202604,Castelo do Piauí,Piauí,19410
1832º,3203502,Montanha,Espírito Santo,19391
1833º,4318101,São Francisco de Assis,Rio Grande do Sul,19382
1834º,3128303,Guaranésia,Minas Gerais,19378
1835º,2910404,Encruzilhada,Bahia,19376
1836º,3139300,Manga,Minas Gerais,19372
1837º,4104501,Capanema,Paraná,19364
1838º,4208450,Itapoá,Santa Catarina,19355
1839º,4309605,Horizontina,Rio Grande do Sul,19338
1840º,1506559,Santa Luzia do Pará,Pará,19316
1841º,3104908,Baependi,Minas Gerais,19315
1842º,2904852,Cabaceiras do Paraguaçu,Bahia,19312
1843º,2107100,Morros,Maranhão,19282
1844º,2108009,Pastos Bons,Maranhão,19271
1845º,2904704,Buerarema,Bahia,19256
1846º,5212204,Jussara,Goiás,19239
1847º,3531506,Monte Azul Paulista,São Paulo,19234
1848º,2107407,Olho d'Água das Cunhãs,Maranhão,19206
1849º,2303956,Chorozinho,Ceará,19197
1850º,3526100,Juquiá,São Paulo,19192
1851º,2511905,Pitimbu,Paraíba,19182
1852º,5003801,Fátima do Sul,Mato Grosso do Sul,19181
1853º,3139201,Malacacheta,Minas Gerais,19157
1854º,2501302,Aroeiras,Paraíba,19154
1855º,4218301,Três Barras,Santa Catarina,19146
1856º,2102507,Cajari,Maranhão,19110
1857º,2919702,Macarani,Bahia,19110
1858º,2606507,Iati,Pernambuco,19100
1859º,2614006,Serrita,Pernambuco,19080
1860º,3108305,Borda da Mata,Minas Gerais,19055
1861º,1713205,Miracema do Tocantins,Tocantins,19055
1862º,1300201,Atalaia do Norte,Amazonas,19054
1863º,5103007,Chapada dos Guimarães,Mato Grosso,19049
1864º,2917805,Jaguaripe,Bahia,19036
1865º,3508702,Caconde,São Paulo,19025
1866º,2908002,Coaraci,Bahia,19022
1867º,3124005,Ervália,Minas Gerais,19015
1868º,4212205,Papanduva,Santa Catarina,19015
1869º,2905305,Cafarnaum,Bahia,19006
1870º,2104099,Formosa da Serra Negra,Maranhão,18997
1871º,3114501,Carmópolis de Minas,Minas Gerais,18995
1872º,1300631,Beruri,Amazonas,18978
1873º,2804409,Neópolis,Sergipe,18953
1874º,2504405,Conceição,Paraíba,18944
1875º,4301305,Arroio Grande,Rio Grande do Sul,18922
1876º,3140902,Matipó,Minas Gerais,18914
1877º,4106803,Cruz Machado,Paraná,18907
1878º,2313351,Tejuçuoca,Ceará,18902
1879º,4101002,Ampére,Paraná,18886
1880º,2107902,Passagem Franca,Maranhão,18839
1881º,3304110,Porto Real,Rio de Janeiro,18829
1882º,2303303,Cariús,Ceará,18804
1883º,2109270,Presidente Sarney,Maranhão,18797
1884º,2205201,Jaicós,Piauí,18782
1885º,1304237,Tonantins,Amazonas,18782
1886º,5200100,Abadiânia,Goiás,18775
1887º,2311702,Reriutaba,Ceará,18769
1888º,2700706,Batalha,Alagoas,18757
1889º,3203700,Muniz Freire,Espírito Santo,18745
1890º,2511400,Picuí,Paraíba,18737
1891º,4121208,Quitandinha,Paraná,18733
1892º,2921401,Mirangaba,Bahia,18729
1893º,4206900,Ibirama,Santa Catarina,18721
1894º,2304301,Farias Brito,Ceará,18720
1895º,2507101,Itapororoca,Paraíba,18715
1896º,2605152,Dormentes,Pernambuco,18692
1897º,5103379,Cotriguaçu,Mato Grosso,18689
1898º,5101902,Brasnorte,Mato Grosso,18688
1899º,1708205,Formoso do Araguaia,Tocantins,18684
1900º,2111607,São Raimundo das Mangabeiras,Maranhão,18680
1901º,2912400,Ibipeba,Bahia,18678
1902º,2303105,Cariré,Ceará,18660
1903º,2803302,Japaratuba,Sergipe,18656
1904º,3556800,Viradouro,São Paulo,18654
1905º,2703304,Inhapi,Alagoas,18652
1906º,2806008,Ribeirópolis,Sergipe,18641
1907º,4202453,Bombinhas,Santa Catarina,18623
1908º,2512002,Pocinhos,Paraíba,18622
1909º,2101509,Barão de Grajaú,Maranhão,18619
1910º,1303205,Novo Airão,Amazonas,18586
1911º,2603504,Camocim de São Félix,Pernambuco,18583
1912º,3159902,Santo Antônio do Amparo,Minas Gerais,18553
1913º,1302801,Maraã,Amazonas,18531
1914º,2406106,Jucurutu,Rio Grande do Norte,18530
1915º,1200385,Plácido de Castro,Acre,18510
1916º,3500501,Águas de Lindóia,São Paulo,18509
1917º,5204409,Caiapônia,Goiás,18505
1918º,2800506,Areia Branca,Sergipe,18489
1919º,1300680,Boa Vista do Ramos,Amazonas,18483
1920º,1508050,Trairão,Pará,18469
1921º,1100064,Colorado do Oeste,Rondônia,18467
1922º,5107107,São José dos Quatro Marcos,Mato Grosso,18452
1923º,2910750,Fátima,Bahia,18443
1924º,3132107,Itacarambi,Minas Gerais,18443
1925º,2702553,Estrela de Alagoas,Alagoas,18435
1926º,2108801,Pirapemas,Maranhão,18413
1927º,3138807,Luz,Minas Gerais,18400
1928º,5007935,Sonora,Mato Grosso do Sul,18393
1929º,5107800,Santo Antônio de Leverger,Mato Grosso,18392
1930º,2110401,São Benedito do Rio Preto,Maranhão,18377
1931º,3512001,Colina,São Paulo,18376
1932º,3131158,Ipaba,Minas Gerais,18375
1933º,2100832,Apicum-Açu,Maranhão,18374
1934º,2111078,São João do Soter,Maranhão,18345
1935º,2901908,Aporá,Bahia,18334
1936º,3501152,Alumínio,São Paulo,18324
1937º,2930303,Serra Dourada,Bahia,18320
1938º,2104552,Governador Edison Lobão,Maranhão,18316
1939º,4211751,Otacílio Costa,Santa Catarina,18313
1940º,2801702,Cristinápolis,Sergipe,18270
1941º,2924306,Piatã,Bahia,18267
1942º,3301207,Carmo,Rio de Janeiro,18264
1943º,4217808,Taió,Santa Catarina,18261
1944º,2616001,Venturosa,Pernambuco,18258
1945º,1507979,Terra Santa,Pará,18257
1946º,3304102,Porciúncula,Rio de Janeiro,18248
1947º,2903508,Belo Campo,Bahia,18247
1948º,2111409,São Luís Gonzaga do Maranhão,Maranhão,18247
1949º,3104502,Arinos,Minas Gerais,18243
1950º,2313955,Varjota,Ceará,18239
1951º,2908309,Conceição do Almeida,Bahia,18229
1952º,2905404,Cairu,Bahia,18224
1953º,2507705,Juazeirinho,Paraíba,18213
1954º,2924207,Pedro Alexandre,Bahia,18209
1955º,3535606,Paraibuna,São Paulo,18206
1956º,2908705,Condeúba,Bahia,18191
1957º,2704104,Lagoa da Canoa,Alagoas,18175
1958º,3137502,Lagoa Formosa,Minas Gerais,18175
1959º,3539103,Pirapora do Bom Jesus,São Paulo,18174
1960º,1200708,Xapuri,Acre,18174
1961º,5100300,Alto Araguaia,Mato Grosso,18164
1962º,2506806,Ingá,Paraíba,18163
1963º,2313005,Solonópole,Ceará,18158
1964º,3137007,Ladainha,Minas Gerais,18152
1965º,3530201,Mirante do Paranapanema,São Paulo,18130
1966º,3117504,Conceição do Mato Dentro,Minas Gerais,18126
1967º,2208205,Pio IX,Piauí,18125
