Posição,Código IBGE,Município,UF,População
133º,3519071,Hortolândia,São Paulo,222186
134º,2918407,Juazeiro,Bahia,221773
135º,2914802,Itabuna,Bahia,221046
136º,3157807,Santa Luzia,Minas Gerais,218897
137º,5003702,Dourados,Mato Grosso do Sul,218069
138º,5218805,Rio Verde,Goiás,217048
139º,3300704,Cabo Frio,Rio de Janeiro,216030
140º,4204202,Chapecó,Santa Catarina,213279
141º,4208203,Itajaí,Santa Catarina,212615
142º,3201209,Cachoeiro de Itapemirim,Espírito Santo,211649
143º,4204608,Criciúma,Santa Catarina,211369
144º,4315602,Rio Grande,Rio Grande do Sul,209378
145º,4300604,Alvorada,Rio Grande do Sul,208177
146º,2312908,Sobral,Ceará,205529
147º,2602902,Cabo de Santo Agostinho,Pernambuco,204653
148º,3543907,Rio Claro,São Paulo,202952
149º,1505536,Parauapebas,Pará,202356
150º,5212501,Luziânia,Goiás,199615
151º,4314100,Passo Fundo,Rio Grande do Sul,198799
152º,2919207,Lauro de Freitas,Bahia,197636
153º,5200258,Águas Lindas de Goiás,Goiás,195810
154º,1502400,Castanhal,Pará,195253
155º,3502804,Araçatuba,São Paulo,194874
156º,3300100,Angra dos Reis,Rio de Janeiro,194619
157º,3545803,Santa Bárbara d'Oeste,São Paulo,191889
158º,3515707,Ferraz de Vasconcelos,São Paulo,188868
159º,3303401,Nova Friburgo,Rio de Janeiro,185381
160º,2804805,Nossa Senhora do Socorro,Sergipe,181928
161º,4109401,Guarapuava,Paraná,180364
162º,3300407,Barra Mansa,Rio de Janeiro,179451
163º,3129806,Ibirité,Minas Gerais,177475
164º,2111201,São José de Ribamar,Maranhão,176418
165º,2913606,Ilhéus,Bahia,176341
166º,3305802,Teresópolis,Rio de Janeiro,176060
167º,1702109,Araguaína,Tocantins,175960
168º,3516309,Francisco Morato,São Paulo,171602
169º,3302858,Mesquita,Rio de Janeiro,171280
170º,3522208,Itapecerica da Serra,São Paulo,170927
171º,4208906,Jaraguá do Sul,Santa Catarina,170835
172º,3523909,Itu,São Paulo,170157
173º,3203205,Linhares,Espírito Santo,169048
174º,2112209,Timon,Maranhão,167619
175º,3151800,Poços de Caldas,Minas Gerais,166085
176º,4211900,Palhoça,Santa Catarina,164926
177º,3507605,Bragança Paulista,São Paulo,164163
178º,3538006,Pindamonhangaba,São Paulo,164000
179º,2103000,Caxias,Maranhão,162657
180º,2918001,Jequié,Bahia,162209
181º,2931350,Teixeira de Freitas,Bahia,161690
182º,3522307,Itapetininga,São Paulo,160070
183º,3548807,São Caetano do Sul,São Paulo,159608
184º,5221858,Valparaíso de Goiás,Goiás,159500
